HLS_ID,DIST_ID,MGRStile,sensingTime,availableTime,downloadTime,processedTime,softwareVersion,percentData,percentAnomaly,Errors,
HLS.S30.T20LRH.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T20LRH_v0.1,20LRH,,,2022-04-07T00:06:23Z,,,,,NA,
HLS.S30.T20LRH.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T20LRH_v0.1,20LRH,,,2022-01-06T09:36:50Z,,,,,NA,
HLS.S30.T20LRH.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T20LRH_v0.1,20LRH,,,2022-04-07T12:47:32Z,,,,,NA,
HLS.S30.T20LRJ.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T20LRJ_v0.1,20LRJ,,,2022-04-07T00:09:24Z,,,,,NA,
HLS.S30.T20LRJ.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T20LRJ_v0.1,20LRJ,,,2022-04-07T04:41:11Z,,,,,NA,
HLS.S30.T20LRJ.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T20LRJ_v0.1,20LRJ,,,2022-04-07T12:43:29Z,,,,,NA,
HLS.S30.T20LRJ.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T20LRJ_v0.1,20LRJ,,,2022-04-07T17:49:04Z,,,,,NA,
HLS.S30.T20LRK.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T20LRK_v0.1,20LRK,,,2022-04-07T00:13:06Z,,,,,NA,
HLS.S30.T20LRK.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T20LRK_v0.1,20LRK,,,2022-04-07T04:49:23Z,,,,,NA,
HLS.S30.T20LRK.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T20LRK_v0.1,20LRK,,,2022-04-07T12:07:19Z,,,,,NA,
HLS.S30.T20LRL.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T20LRL_v0.1,20LRL,,,2022-04-07T00:05:05Z,,,,,NA,
HLS.S30.T20LRL.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T20LRL_v0.1,20LRL,,,2022-04-07T04:51:09Z,,,,,NA,
HLS.S30.T20LRL.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T20LRL_v0.1,20LRL,,,2022-04-07T12:47:06Z,,,,,NA,
HLS.S30.T20LRM.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T20LRM_v0.1,20LRM,,,2022-01-04T07:47:55Z,,,,,NA,
HLS.S30.T20LRM.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T20LRM_v0.1,20LRM,,,2022-04-07T04:50:44Z,,,,,NA,
HLS.S30.T20LRM.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T20LRM_v0.1,20LRM,,,2022-04-07T12:38:28Z,,,,,NA,
